feature_set,n_blocks,mask_mode,classifier,classifier_params,k_features,n_features,accuracy,macro_f1,balanced_accuracy
abcd_v2+melnv,2,raw,xgb,"n=300,d=3,lr=0.03",all,104,0.7183333333333334,0.7429559998539924,0.7517989417989418
abcd_v2+melnv,2,raw,xgb,"n=300,d=3,lr=0.03",100,104,0.7216666666666667,0.7450714382737385,0.7516931216931217
all+contrast+abcd_v2+boundary+melnv,5,raw,lgbm,"n=300,lv=7,lr=0.03",100,259,0.715,0.7386587616226405,0.7514285714285714
all+boundary+melnv,3,raw,xgb,"n=200,d=3,lr=0.05",100,198,0.7283333333333334,0.7433896390033166,0.7513756613756614
all+contrast+abcd_v2,3,raw,lgbm,"n=300,lv=7,lr=0.03",all,164,0.7366666666666667,0.7493983729448846,0.7510582010582011
all+contrast+abcd_v2+boundary+melnv,5,raw,xgb,"n=300,d=3,lr=0.03",all,259,0.7283333333333334,0.7477835103427802,0.7506878306878307
contrast+abcd_v2+boundary+melnv,4,raw,xgb,"n=200,d=3,lr=0.05",100,156,0.7166666666666667,0.7367346938775511,0.7504232804232803
contrast+abcd_v2+boundary+melnv,4,raw,xgb,"n=150,d=2,lr=0.05",all,156,0.7183333333333334,0.7410107854208605,0.7501587301587301
contrast+abcd_v2+melnv,3,raw,xgb,"n=150,d=2,lr=0.05",all,138,0.7216666666666667,0.7421822856605466,0.7500529100529101
all+abcd_v2+boundary+melnv,4,raw,xgb,"n=200,d=3,lr=0.05",100,225,0.7216666666666667,0.7447433295395699,0.75
all+contrast+abcd_v2+boundary,4,raw,lgbm,"n=300,lv=7,lr=0.03",100,182,0.7216666666666667,0.7398812881046384,0.75
contrast+abcd_v2+boundary+melnv,4,raw,xgb,"n=300,d=3,lr=0.03",all,156,0.7183333333333334,0.7431992380470133,0.7498941798941798
all+contrast+boundary,3,raw,lgbm,"n=300,lv=7,lr=0.03",100,155,0.735,0.7453539817248803,0.7497354497354497
abcd_v2+boundary+melnv,3,raw,xgb,"n=300,d=3,lr=0.03",all,122,0.7183333333333334,0.741909357187201,0.7496825396825396
all+contrast+boundary,3,raw,xgb,"n=300,d=3,lr=0.03",100,155,0.7316666666666667,0.74497118083239,0.7491534391534391
contrast+abcd_v2,2,raw,lgbm,"n=300,lv=15,lr=0.05",100,61,0.7233333333333334,0.7460608049160773,0.748994708994709
contrast+abcd_v2,2,raw,lgbm,"n=300,lv=15,lr=0.05",all,61,0.7233333333333334,0.7460608049160773,0.748994708994709
